timestamp,riskyForStable,deltaOut,tau,totalUnderlying,totalQuote,totalLiquidity,pool.id,pool.liquidity,pool.strike,pool.invariant,pool.sigma,pool.maturity,pool.initialQuote,pool.initialUnderlying,pool.initialLiquidity,pool.initialTau,pool.feesCollectedQuote,pool.feesCollectedUnderlying,pool.maturity_utc,pool.createdAtTimestamp_utc,pool.initialTau_utc,tau_yrs,pool.initialTau_years,swap_vol_cum,swap_count_cum,pool_name,spot_price,tvl,initial_tvl,total_fees_usdc,pool.duration_utc,totalUnderlying_usdc,totalQuote_usdc,initialUnderlyingPerLiquidity,initialQuotePerLiquidity,currentUnderlyingPerLiquidity,currentUnderlyingPerLiquiditySpot,currentQuotePerLiquidity,currentLPT_usdc
2022-05-08 10:52:00,True,8100.0,392905,33.62029011048295,27417.295594,44.284864628699005,0x9c1a0c93c3e61a964268d41d5e7935b66f08d4838f2879da4cc62bea76bbac15,2.139581282728754,2900.0,-8,0.65,1652400000,511.409757,0.19999999978825134,0.3927686226426887,700031,0.0,0.2206973458516672,2022-05-13 00:00:00,2022-05-05 00:00:00,2022-05-04 21:33:00,0.012458935819381026,0.022197837392186708,36905.45525,13,2022-05-05_2022-05-13_2900_0.65,2748.4173455497184,119819.88409606498,1061.09322552797,606.5684134555073,8,92402.58850206499,27417.295594,0.5092056448974446,1302.0636769787034,0.7591824067289836,2086.55009509012,619.1121012534855,2705.6621963436055
2022-05-08 10:55:00,True,8000.0,392726,36.620290110482955,19417.295594,44.284864628699005,0x9c1a0c93c3e61a964268d41d5e7935b66f08d4838f2879da4cc62bea76bbac15,2.139581282728754,2900.0,-8,0.65,1652400000,511.409757,0.19999999978825134,0.3927686226426887,700031,0.0,0.2206973458516672,2022-05-13 00:00:00,2022-05-05 00:00:00,2022-05-04 21:33:00,0.012453259766615932,0.022197837392186708,28805.45525,13,2022-05-05_2022-05-13_2900_0.65,2701.331094710382,118340.82396676269,1051.675975370073,596.1766028691599,8,98923.5283727627,19417.295594,0.5092056448974446,1302.0636769787034,0.8269256419212584,2233.7999495352383,438.46347407408655,2672.263423609325
2022-05-08 11:01:00,True,7850.0,392369,39.62029011048295,11567.295594,44.284864628699005,0x9c1a0c93c3e61a964268d41d5e7935b66f08d4838f2879da4cc62bea76bbac15,2.139581282728754,2900.0,-8,0.65,1652400000,511.409757,0.19999999978825134,0.3927686226426887,700031,0.0,0.2206973458516672,2022-05-13 00:00:00,2022-05-05 00:00:00,2022-05-04 21:33:00,0.012441939370877727,0.022197837392186708,20805.45525,13,2022-05-05_2022-05-13_2900_0.65,2641.446551235513,116222.17426528569,1039.69906668778,582.9602430667176,8,104654.8786712857,11567.295594,0.5092056448974446,1302.0636769787034,0.8946688771135328,2363.2200199492904,261.2020086543013,2624.4220286035916
2022-05-08 11:48:00,True,5250.0,4018302,16.952176358205172,11528.451756,21.749972036103888,0x7825a58f2a7a6c7472ba964a31f1a9678935c243cfed43747001e11132547c09,11.130536484814723,3200.0,21,0.65,1656028800,288.060629,0.08544866780533937,0.2,6748551,0.0,0.10734524193431404,2022-06-24 00:00:00,2022-04-07 00:00:00,2022-04-06 21:24:00,0.1274195205479452,0.21399514840182648,16169.156702,13,2022-04-07_2022-06-24_3200_0.65,2605.2472908689674,55693.06328754698,510.67553930822277,279.6609007370455,78,44164.61153154698,11528.451756,0.4272433390266968,1440.3031449999999,0.7794114093602231,2030.559462708085,530.0444403727663,2560.6039030808515
2022-05-08 11:52:00,True,2580.0,389284,41.107738290703004,9129.60796,44.829701039900336,0x9c1a0c93c3e61a964268d41d5e7935b66f08d4838f2879da4cc62bea76bbac15,2.139581282728754,2900.0,-8,0.65,1652400000,511.409757,0.19999999978825134,0.3927686226426887,700031,0.0,0.2206973458516672,2022-05-13 00:00:00,2022-05-05 00:00:00,2022-05-04 21:33:00,0.012344114662607814,0.022197837392186708,12955.455249999999,13,2022-05-05_2022-05-13_2900_0.65,2617.136485444946,116714.1696747211,1034.837053534814,577.59507606926,8,107584.5617147211,9129.60796,0.5092056448974446,1302.0636769787034,0.9169755170598923,2399.850081957189,203.6508776151387,2603.5009595723277
2022-05-08 12:40:00,True,250.0,386424,41.03492422999654,8841.227728,44.64124010774748,0x9c1a0c93c3e61a964268d41d5e7935b66f08d4838f2879da4cc62bea76bbac15,2.139581282728754,2900.0,-8,0.65,1652400000,511.409757,0.19999999978825134,0.3927686226426887,700031,0.0,0.2206973458516672,2022-05-13 00:00:00,2022-05-05 00:00:00,2022-05-04 21:33:00,0.012253424657534246,0.022197837392186708,10375.455249999999,13,2022-05-05_2022-05-13_2900_0.65,2615.363019661134,116162.45107372958,1034.482360378427,577.2036768778139,8,107321.22334572958,8841.227728,0.5092056448974446,1302.0636769787034,0.9192155981991849,2404.082482625836,198.05067481684063,2602.1331574426763
2022-05-08 17:40:00,True,2380.0,454805,10.899999998531051,3950.529541,12.506626088233858,0xe4e450c5ae4cf71232aa81d5981de07b5ba6ad0614591d574d45a572bcfd3e63,0.0,2950.0,-8,0.74,1652486400,6330.529541,9.999999998531054,12.506626088233858,610471,0.0,0.024,2022-05-14 00:00:00,2022-05-07 00:00:00,2022-05-06 22:25:00,0.014421771943176053,0.01935790842212075,6190.0,3,2022-05-07_2022-05-14_2950_0.74,2656.763384295198,32909.250425915016,32898.163380049344,63.76232122308476,7,28958.720884915012,3950.529541,0.7995761549103143,506.1740469682479,0.8715380088628132,2315.470269968266,315.8749220716392,2631.345192039905
2022-05-09 08:34:00,True,3850.0,314758,48.62603306395844,6303.594726,51.267660335923374,0x9c1a0c93c3e61a964268d41d5e7935b66f08d4838f2879da4cc62bea76bbac15,2.139581282728754,2900.0,-8,0.65,1652400000,511.409757,0.19999999978825134,0.3927686226426887,700031,0.0,0.2206973458516672,2022-05-13 00:00:00,2022-05-05 00:00:00,2022-05-04 21:33:00,0.009980910705225774,0.022197837392186708,10125.455249999999,13,2022-05-05_2022-05-13_2900_0.65,2603.1919106182645,132886.49064355288,1032.0481385724306,574.5175454159814,8,126582.89591755287,6303.594726,0.5092056448974446,1302.0636769787034,0.9484738087391529,2469.0593463430578,122.95460110129224,2592.01394744435
2022-05-09 08:40:00,True,2530.0,314407,49.62603306395844,3773.594726,51.267660335923374,0x9c1a0c93c3e61a964268d41d5e7935b66f08d4838f2879da4cc62bea76bbac15,2.139581282728754,2900.0,-8,0.65,1652400000,511.409757,0.19999999978825134,0.3927686226426887,700031,0.0,0.2206973458516672,2022-05-13 00:00:00,2022-05-05 00:00:00,2022-05-04 21:33:00,0.009969780568239472,0.022197837392186708,6275.45525,13,2022-05-05_2022-05-13_2900_0.65,2566.1679209324607,131122.32881786377,1024.6433406431095,566.346449159485,8,127348.73409186378,3773.594726,0.5092056448974446,1302.0636769787034,0.9679792824324647,2483.997382705413,73.60575265721329,2557.6031353626263
2022-05-09 09:12:00,True,1250.0,312486,50.12603306395844,2523.594726,51.267660335923374,0x9c1a0c93c3e61a964268d41d5e7935b66f08d4838f2879da4cc62bea76bbac15,2.139581282728754,2900.0,-8,0.65,1652400000,511.409757,0.19999999978825134,0.3927686226426887,700031,0.0,0.2206973458516672,2022-05-13 00:00:00,2022-05-05 00:00:00,2022-05-04 21:33:00,0.00990886605783866,0.022197837392186708,3745.45525,13,2022-05-05_2022-05-13_2900_0.65,2541.179064650381,129902.82054210397,1019.645569391985,560.8314749021613,8,127379.22581610398,2523.594726,0.5092056448974446,1302.0636769787034,0.9777320192791206,2484.5921382304437,49.223910540573485,2533.816048771017
